State,City,White,Black,Hispanic,Native,Asian
HI,Naalehu CDP,10.5,0.1,8.2,0.0,40.9
HI,Nanakuli CDP,4.8,0.8,11.8,0.2,9.2
HI,Nanawale Estates CDP,36.1,1.3,15.3,2.2,15.8
HI,Napili-Honokowai CDP,52.9,0.9,14.1,0.4,19.9
HI,Ocean Pointe CDP,34.6,7.4,10.7,0.6,30.5
HI,Olinda CDP,71.1,0.2,7.4,1.3,7.6
HI,Olowalu CDP,43.8,0.0,1.3,1.3,13.8
HI,Omao CDP,42.1,0.4,13.1,0.5,26.1
HI,Orchidlands Estates CDP,32.0,0.8,14.7,0.6,21.7
HI,Paauilo CDP,15.3,0.0,15.8,0.2,36.0
HI,Pahala CDP,10.0,0.7,10.7,0.2,42.9
HI,Pahoa CDP,14.9,0.4,6.6,1.5,43.5
HI,Paia CDP,42.7,0.2,10.2,0.6,23.8
HI,Pakala Village CDP,17.7,0.0,9.5,0.3,32.0
HI,Papaikou CDP,19.7,0.1,12.2,0.1,41.0
HI,Paukaa CDP,40.9,0.0,6.4,0.7,32.7
HI,Pearl CDP,16.0,2.9,8.2,0.3,53.2
HI,Pepeekeo CDP,12.9,0.7,12.6,0.3,43.0
HI,Poipu CDP,65.9,0.2,8.2,0.2,13.7
HI,Princeville CDP,80.4,0.4,5.7,0.8,5.4
HI,Puako CDP,73.2,0.4,4.0,0.4,11.1
HI,Puhi CDP,18.3,0.2,7.5,0.1,54.6
HI,Pukalani CDP,33.2,0.4,12.0,0.3,23.9
HI,Punaluu CDP,35.7,1.5,6.7,0.3,8.6
HI,Pupukea CDP,59.5,0.6,8.8,0.4,12.0
HI,Royal Kunia CDP,12.0,1.8,7.5,0.2,58.4
HI,Schofield Barracks CDP,60.2,15.3,17.3,1.5,3.2
HI,Ualapu'e CDP,20.9,0.0,8.5,0.9,3.3
HI,Urban Honolulu CDP,17.9,1.5,5.4,0.2,54.8
HI,Volcano CDP,51.5,0.7,8.8,0.4,11.6
HI,Wahiawa CDP,11.4,1.6,13.0,0.3,40.7
HI,Waialua CDP,21.4,0.2,10.3,0.2,45.5
HI,Waianae CDP,8.3,0.8,15.9,0.2,14.5
HI,Waihee-Waiehu CDP,12.2,0.2,9.8,0.2,38.3
HI,Waikane CDP,17.1,0.6,7.8,0.1,16.2
HI,Waikapu CDP,23.7,0.4,10.6,0.5,33.9
HI,Waikele CDP,16.0,2.7,7.4,0.2,54.1
HI,Waikoloa Village CDP,47.1,0.7,10.2,0.8,16.1
HI,Wailea CDP,78.1,0.7,6.9,0.4,8.8
HI,Wailua CDP,33.1,0.6,10.0,0.2,31.8
HI,Wailua Homesteads CDP,46.5,0.4,8.6,0.3,21.0
HI,Wailuku CDP,21.0,0.6,10.3,0.3,37.2
HI,Waimalu CDP,17.3,2.7,8.5,0.3,49.2
HI,Waimanalo CDP,12.3,0.3,11.2,0.2,23.8
HI,Waimanalo Beach CDP,9.2,0.2,7.6,0.1,4.2
HI,Waimea CDP (Hawaii County),31.2,0.3,9.0,0.2,17.3
HI,Waimea CDP (Kauai County),17.5,0.6,8.0,0.5,34.0
HI,Wainaku CDP,25.1,0.2,8.9,0.2,41.6
HI,Wainiha CDP,62.3,1.3,3.5,0.3,3.1
HI,Waiohinu CDP,14.1,0.0,10.3,0.0,24.9
HI,Waipahu CDP,3.4,0.8,5.8,0.1,67.1
HI,Waipio CDP,11.6,1.5,8.7,0.2,56.4
HI,Waipio Acres CDP,19.1,3.3,13.4,0.4,35.4
HI,West Loch Estate CDP,13.7,1.7,8.4,0.2,55.0
HI,Wheeler AFB CDP,68.2,9.7,17.2,1.0,3.5
HI,Whitmore Village CDP,4.5,0.8,8.4,0.1,64.4
ID,Aberdeen,60.2,0.1,54.1,0.7,0.1
ID,Acequia,66.9,0.8,43.5,4.0,0.0
ID,Albion,96.3,0.0,4.5,0.0,0.0
ID,American Falls,70.2,0.4,39.0,0.9,0.5
ID,Ammon,94.1,0.5,6.4,0.5,0.8
ID,Arbon Valley CDP,85.8,0.5,11.2,3.3,1.0
ID,Arco,95.1,0.0,3.0,0.3,0.3
ID,Arimo,91.3,0.0,3.1,0.0,0.3
ID,Ashton,85.0,0.1,17.6,0.4,0.0
ID,Athol,97.0,0.0,0.3,0.9,0.0
ID,Atomic,96.6,0.0,3.4,3.4,0.0
ID,Bancroft,96.0,0.0,3.2,0.3,0.0
ID,Banks CDP,100.0,0.0,0.0,0.0,0.0
ID,Basalt,90.6,0.0,13.2,0.8,0.0
ID,Bellevue,80.4,0.3,28.8,0.4,0.4
ID,Bennington CDP,97.9,0.0,2.1,2.1,0.0
ID,Blackfoot,83.1,0.3,18.4,3.5,1.1
ID,Blanchard CDP,97.7,0.0,1.1,0.8,0.0
ID,Bliss,72.3,0.0,34.6,0.3,2.2
ID,Bloomington,88.8,0.0,8.3,2.9,2.4
ID,Boise,89.0,1.5,7.1,0.7,3.2
ID,Bonners Ferry,94.3,0.2,4.7,2.0,0.6
ID,Bovill,96.5,0.0,0.4,0.0,0.0
ID,Buhl,81.9,0.2,24.9,0.7,0.2
ID,Burley,77.2,0.4,33.4,1.0,0.7
ID,Butte,86.5,2.7,13.5,4.1,0.0
ID,Caldwell,77.5,0.6,35.4,1.2,0.9
ID,Cambridge,98.2,0.0,0.3,0.6,0.0
ID,Carey,88.9,0.7,12.1,0.3,0.3
ID,Cascade,96.5,0.2,2.7,0.9,0.2
ID,Castleford,87.6,0.0,35.0,0.0,0.4
ID,Challis,93.6,0.1,7.2,0.8,0.3
ID,Chubbuck,90.5,0.4,7.5,2.4,1.1
ID,Clark Fork,95.5,0.0,0.9,0.7,0.6
ID,Clayton,100.0,0.0,0.0,0.0,0.0
ID,Clifton,97.7,0.0,1.9,0.0,0.0
ID,Coeur d'Alene,93.8,0.4,4.3,1.2,0.8
ID,Conkling Park CDP,100.0,0.0,0.0,0.0,0.0
ID,Cottonwood,97.1,0.9,0.9,0.3,0.2
ID,Council,96.5,0.1,3.0,0.7,0.2
ID,Craigmont,95.2,0.0,2.0,0.6,1.0
ID,Crouch,96.9,0.0,1.9,1.2,0.6
ID,Culdesac,83.4,0.0,5.3,15.8,0.0
ID,Dalton Gardens,96.8,0.2,3.2,0.6,0.4
ID,Dayton,93.1,0.0,6.5,0.0,0.0
ID,Deary,93.5,0.2,2.2,1.0,0.8
ID,Declo,85.1,0.0,15.2,4.1,0.0
ID,De Smet CDP,8.0,0.0,4.0,70.9,0.0
ID,Dietrich,90.1,3.3,10.2,0.9,0.0
ID,Donnelly,94.7,0.7,3.3,1.3,0.0
ID,Dover,96.8,0.0,2.5,0.5,0.4
ID,Downey,98.1,0.0,1.6,0.2,0.0
ID,Driggs,73.0,0.5,31.6,0.2,0.5
ID,Drummond,93.8,0.0,0.0,0.0,0.0
ID,Dubois,67.1,0.9,49.6,0.7,0.3
ID,Eagle,94.4,0.3,4.7,0.5,1.6
ID,East Hope,98.1,0.0,2.4,0.5,0.5
ID,Eden,75.8,0.0,26.7,0.0,0.0
ID,Elk CDP,98.5,0.0,0.5,0.5,0.0
ID,Elk River,100.0,0.0,3.2,0.0,0.0
ID,Emmett,91.1,0.2,12.7,0.6,0.7
ID,Fairfield,93.0,0.0,6.3,1.0,0.2
ID,Ferdinand,93.7,0.0,3.8,0.6,0.6
ID,Fernan Lake Village,96.4,0.6,4.7,1.2,1.8
ID,Filer,91.6,0.1,11.7,1.0,0.1
ID,Firth,79.5,0.0,25.2,2.1,0.0
ID,Fort Hall CDP,29.0,0.1,10.9,63.6,0.4
ID,Franklin,91.1,0.5,13.1,0.5,0.0
ID,Fruitland,84.0,0.5,22.6,1.0,1.1
ID,Garden,86.2,1.0,13.8,1.1,1.4
ID,Garden Valley CDP,94.2,0.8,9.1,0.5,0.8
ID,Genesee,96.1,0.0,1.0,0.2,0.7
ID,Georgetown,95.4,0.4,0.4,0.4,0.6
ID,Glenns Ferry,82.2,0.2,24.6,2.0,0.4
ID,Gooding,84.6,0.4,22.9,0.9,0.6
ID,Grace,96.9,0.1,4.2,0.4,0.1
ID,Grand View,84.7,0.7,16.8,2.4,0.2
ID,Grangeville,94.8,0.2,3.6,1.4,0.6
ID,Greenleaf,87.1,0.4,19.4,0.5,0.4
ID,Groveland CDP,91.7,0.0,11.1,0.1,0.8
ID,Hagerman,93.8,0.1,13.8,0.7,0.3
ID,Hailey,80.2,0.2,28.1,0.7,0.8
ID,Hamer,72.9,0.0,12.5,0.0,6.3
ID,Hansen,85.0,0.3,16.5,1.2,0.2
ID,Harrison,98.5,0.0,2.0,1.5,0.0
ID,Hauser,94.5,0.3,2.1,1.0,0.4
ID,Hayden,95.1,0.2,4.2,0.9,0.9
ID,Hayden Lake,97.6,0.0,3.0,0.2,0.5
ID,Hazelton,74.9,0.0,36.0,0.1,0.3
ID,Heyburn,77.4,0.6,32.5,2.3,0.6
ID,Hidden Spring CDP,96.1,0.3,3.8,0.3,0.7
ID,Hollister,83.1,0.0,29.0,0.4,0.0
ID,Homedale,63.1,0.2,43.0,1.3,1.0
ID,Hope,98.8,0.0,0.0,0.0,0.0
ID,Horseshoe Bend,93.6,0.0,7.2,0.6,0.3
ID,Huetter,88.0,1.0,7.0,3.0,1.0
ID,Idaho,94.2,0.0,4.9,1.6,0.8
ID,Idaho Falls,89.3,0.7,12.9,1.0,1.0
ID,Inkom,95.2,0.6,4.4,0.2,0.8
ID,Iona,97.7,0.2,3.9,0.3,0.1
ID,Irwin,99.1,0.0,0.5,0.0,0.5
ID,Island Park,96.9,0.0,6.6,0.7,0.0
ID,Jerome,78.3,0.4,34.3,1.8,0.4
ID,Juliaetta,95.7,0.2,1.4,1.7,0.0
ID,Kamiah,82.2,0.4,5.5,8.9,0.7
ID,Kellogg,94.0,0.4,3.2,2.2,0.3
ID,Kendrick,97.0,0.0,2.3,1.0,0.0
ID,Ketchum,90.9,0.1,9.1,0.1,1.3
ID,Kimberly,91.8,0.2,12.5,1.0,0.3
ID,Kooskia,90.0,0.0,2.1,4.9,0.5
ID,Kootenai,95.9,0.0,4.3,0.3,0.4
ID,Kuna,91.2,0.6,8.6,0.8,0.7
ID,Lapwai,16.6,0.4,4.0,78.1,0.1
ID,Lava Hot Springs,97.5,0.2,4.2,0.2,0.0
ID,Leadore,100.0,0.0,0.0,0.0,0.0
ID,Lewiston,93.9,0.3,2.8,1.7,0.8
ID,Lewisville,89.7,0.0,11.4,0.9,0.4
ID,Lincoln CDP,86.2,0.3,18.5,0.4,0.5
ID,Lost River,95.6,2.9,11.8,0.0,0.0
ID,Lowman CDP,100.0,0.0,0.0,0.0,0.0
ID,McCall,93.6,0.1,6.9,0.7,0.5
ID,McCammon,97.7,0.4,2.3,0.5,0.0
ID,Mackay,98.8,0.2,1.0,0.6,0.0
ID,Malad,96.5,0.0,2.9,0.5,0.8
ID,Malta,91.2,0.0,14.5,0.0,0.0
ID,Marsing,74.9,0.0,33.8,1.6,0.4
ID,Melba,78.9,0.2,24.6,0.0,0.2
ID,Menan,92.3,0.4,10.4,1.2,0.0
ID,Meridian,92.0,0.8,6.8,0.5,1.8
ID,Middleton,92.5,0.3,10.0,0.6,0.5
ID,Midvale,94.2,0.0,5.8,4.1,0.0
ID,Minidoka,46.4,0.0,76.8,0.0,0.0
ID,Montpelier,96.2,0.0,4.9,0.4,0.2
ID,Moore,100.0,0.0,3.2,0.0,0.0
ID,Moreland CDP,78.5,0.2,26.6,1.3,0.3
ID,Moscow,90.9,1.1,4.6,0.6,3.1
ID,Mountain Home,83.2,3.3,11.9,1.0,2.9
ID,Mountain Home AFB CDP,76.7,5.5,10.3,0.4,8.4
ID,Moyie Springs,93.6,0.8,7.7,0.7,0.1
ID,Mud Lake,63.4,0.0,44.4,1.1,0.0
ID,Mullan,95.8,0.0,2.2,1.0,0.1
ID,Murphy CDP,93.8,0.0,4.1,0.0,1.0
ID,Murtaugh,84.3,0.0,20.0,0.0,0.0
ID,Nampa,82.9,0.7,22.9,1.2,0.9
ID,Newdale,90.7,0.0,12.7,0.0,0.0
ID,New Meadows,95.4,0.0,4.8,0.4,0.0
ID,New Plymouth,89.3,0.2,13.3,0.5,0.3
ID,Nezperce,95.1,0.0,0.6,4.1,0.2
ID,Notus,73.3,0.2,29.8,2.4,0.4
ID,Oakley,92.5,0.0,9.4,0.1,0.3
ID,Oldtown,98.4,0.5,2.7,0.0,0.0
ID,Onaway,100.0,0.0,1.1,0.0,0.0
ID,Orofino,91.7,0.5,4.3,2.5,1.4
ID,Osburn,95.8,0.3,4.2,1.5,0.3
ID,Oxford,93.8,0.0,0.0,6.3,0.0
ID,Paris,97.9,0.4,2.3,0.0,0.2
ID,Parker,94.8,0.0,4.6,2.3,0.0
ID,Parkline CDP,93.8,0.0,6.3,2.5,0.0
ID,Parma,75.4,0.4,31.0,1.2,0.7
ID,Paul,76.6,0.0,28.5,0.9,0.8
ID,Payette,86.6,0.2,19.3,1.5,0.8
ID,Peck,95.4,0.0,0.5,1.0,0.0
ID,Pierce,94.3,0.0,3.1,1.8,0.2
ID,Pinehurst,96.4,0.1,3.5,1.0,0.8
ID,Placerville,96.2,0.0,3.8,0.0,0.0
ID,Plummer,45.7,1.1,8.0,42.7,0.0
ID,Pocatello,90.5,1.0,7.2,1.7,1.6
ID,Ponderay,94.5,0.3,4.2,0.7,0.1
ID,Post Falls,94.0,0.4,4.6,0.9,0.7
ID,Potlatch,97.1,0.1,2.1,0.1,0.0
ID,Preston,93.7,0.2,7.5,0.7,0.2
ID,Priest River,93.3,0.1,2.1,1.1,0.6
ID,Princeton CDP,97.3,0.0,3.4,0.0,0.0
ID,Rathdrum,95.0,0.2,3.6,1.1,0.3
ID,Reubens,97.2,0.0,0.0,1.4,0.0
ID,Rexburg,93.8,0.6,5.6,0.2,1.2
ID,Richfield,89.4,0.0,12.2,0.6,0.0
ID,Rigby,89.5,0.2,11.8,0.9,0.5
ID,Riggins,96.9,0.0,1.7,0.7,0.0
ID,Ririe,86.3,0.0,13.7,1.1,0.0
ID,Riverside CDP,86.2,0.0,15.0,1.4,0.1
ID,Roberts,62.6,0.5,52.4,1.0,1.2
ID,Robie Creek CDP,96.5,0.4,2.1,0.5,0.4
ID,Rockford CDP,85.1,0.0,13.4,2.2,0.0
ID,Rockford Bay CDP,97.8,0.0,0.0,0.5,0.5
ID,Rockland,99.7,0.0,1.7,0.0,0.0
ID,Rupert,75.0,0.3,42.9,1.6,0.4
ID,St. Anthony,85.9,0.5,20.9,0.8,0.5
ID,St. Charles,98.5,0.0,0.0,0.0,0.0
ID,St. Maries,96.0,0.3,1.6,1.1,0.6
ID,Salmon,96.5,0.3,2.6,0.5,0.6
ID,Sandpoint,95.5,0.1,2.9,0.7,0.8
ID,Shelley,89.0,0.3,14.0,0.8,0.7
ID,Shoshone,81.0,0.1,29.4,0.8,0.7
ID,Smelterville,95.4,0.5,4.6,1.8,0.0
ID,Smiths Ferry CDP,94.7,0.0,4.0,0.0,1.3
ID,Soda Springs,96.4,0.1,3.4,0.3,0.3
ID,Spencer,100.0,0.0,0.0,0.0,0.0
ID,Spirit Lake,96.3,0.2,2.8,0.5,0.4
ID,Stanley,100.0,0.0,0.0,0.0,0.0
ID,Star,93.5,0.6,6.7,0.8,0.6
ID,State Line,100.0,0.0,0.0,0.0,0.0
ID,Stites,95.0,1.4,3.2,1.8,0.0
ID,Sugar,91.3,0.1,10.9,0.4,0.3
ID,Sun Valley,96.4,0.2,4.6,0.2,0.8
ID,Swan Valley,96.6,0.0,1.5,1.0,0.5
ID,Sweetwater CDP,60.8,0.0,2.8,37.8,0.0
ID,Tensed,69.1,0.0,0.8,24.4,0.0
ID,Teton,79.6,0.7,22.2,0.7,0.3
ID,Tetonia,92.2,0.0,10.8,0.7,0.0
ID,Troy,96.1,0.0,3.0,0.2,0.6
ID,Twin Falls,88.5,0.7,13.1,0.8,1.8
ID,Tyhee CDP,92.6,0.1,4.4,2.7,0.5
ID,Ucon,95.9,0.0,6.0,0.0,0.1
ID,Victor,79.3,0.5,22.6,1.0,0.5
ID,Wallace,95.9,0.1,2.3,1.0,0.3
ID,Wardner,95.2,0.0,2.7,1.1,1.6
ID,Warm River,100.0,0.0,0.0,0.0,0.0
ID,Weippe,98.4,0.0,1.8,0.7,0.2
ID,Weiser,80.8,0.3,26.1,0.9,1.0
ID,Wendell,74.2,0.2,35.7,1.4,0.3
ID,Weston,98.4,0.5,0.5,0.0,0.0
ID,White Bird,100.0,0.0,1.1,0.0,0.0
ID,Wilder,44.6,0.2,75.9,1.8,0.4
ID,Winchester,92.1,1.2,2.1,3.2,0.3
ID,Worley,56.0,0.8,5.8,28.0,0.0
ID,Yellow Pine CDP,93.8,0.0,0.0,0.0,0.0
IL,Abingdon,96.3,1.1,1.7,0.2,0.4
IL,Adair CDP,98.6,0.5,0.5,1.0,0.0
IL,Addieville village,100.0,0.0,0.0,0.0,0.0
IL,Addison village,67.6,3.9,40.1,0.5,7.4
IL,Adeline village,98.8,0.0,1.2,1.2,0.0
IL,Albany village,98.3,0.1,2.2,0.2,0.3
IL,Albers village,95.7,0.2,4.5,0.2,0.1
IL,Albion,97.6,0.3,1.4,0.1,0.3
IL,Aledo,98.5,0.6,1.2,0.0,0.3
IL,Alexis village,99.0,0.4,0.8,0.2,0.0
IL,Algonquin village,87.2,1.7,6.8,0.2,7.3
IL,Alhambra village,97.8,0.3,0.4,0.0,0.3
IL,Allendale village,99.2,0.4,0.2,0.0,0.2
IL,Allenville village,100.0,0.0,2.0,0.0,0.0
IL,Allerton village,97.6,1.0,0.3,0.0,0.0
IL,Alma village,99.4,0.3,0.0,0.3,0.0
IL,Alorton village,0.9,97.7,0.2,0.0,0.0
IL,Alpha village,97.5,0.4,1.9,0.0,0.1
IL,Alsey village,96.5,1.8,3.1,0.0,1.3
IL,Alsip village,68.0,18.1,19.9,0.4,2.3
IL,Altamont,99.5,0.1,0.5,0.1,0.0
IL,Alton,68.5,26.6,1.9,0.2,0.5
IL,Altona village,97.4,0.0,4.0,0.0,0.4
IL,Alto Pass village,84.9,0.8,25.1,2.0,0.5
IL,Alvan village,96.7,0.7,1.9,0.4,1.1
IL,Amboy,97.2,0.8,3.8,0.1,0.1
IL,Anchor village,96.6,0.7,0.0,2.1,0.0
IL,Andalusia village,97.8,0.7,2.0,0.0,0.3
IL,Andover village,98.8,0.0,2.4,0.2,0.0
IL,Anna,95.7,1.1,2.9,0.6,0.4
IL,Annapolis CDP,100.0,0.0,0.0,0.0,0.0
IL,Annawan town,97.2,0.6,1.6,0.0,1.4
IL,Antioch village,88.8,3.1,8.5,0.2,3.7
IL,Apple Canyon Lake CDP,99.1,0.4,1.1,0.0,0.4
IL,Apple River village,98.1,0.3,0.0,0.5,0.0
IL,Arcola,85.6,0.3,29.8,0.2,0.9
IL,Arenzville village,96.8,0.0,2.7,0.2,0.0
IL,Argenta village,97.4,0.7,0.4,0.2,0.1
IL,Arlington village,94.3,0.0,3.1,0.0,0.0
IL,Arlington Heights village,88.2,1.3,5.7,0.1,7.1
IL,Armington village,99.7,0.0,2.6,0.0,0.0
IL,Aroma Park village,89.5,4.2,8.3,0.3,0.1
IL,Arrowsmith village,95.6,0.3,1.4,0.3,1.7
IL,Arthur village,98.9,0.1,1.5,0.1,0.2
IL,Ashkum village,98.8,0.3,1.4,0.0,0.1
IL,Ashland village,98.4,0.4,0.5,0.4,0.1
IL,Ashley,97.4,0.7,2.2,0.0,0.0
IL,Ashmore village,97.3,0.9,0.3,0.3,0.4
IL,Ashton village,95.3,1.3,4.3,0.3,0.4
IL,Assumption,98.6,0.1,0.3,0.3,0.0
IL,Astoria town,98.9,0.0,0.9,0.2,0.0
IL,Athens,96.3,0.6,1.6,0.2,0.6
IL,Atkinson town,99.2,0.0,2.0,0.1,0.1
IL,Atlanta,97.8,0.3,1.5,0.1,0.4
IL,Atwood village,98.4,0.3,1.4,0.0,0.1
IL,Auburn,97.2,0.5,1.6,0.2,0.3
IL,Augusta village,99.3,0.0,0.2,0.3,0.0
IL,Aurora,59.7,10.7,41.3,0.5,6.7
IL,Ava,99.1,0.0,2.1,0.3,0.2
IL,Aviston village,98.4,0.1,0.6,0.2,0.5
IL,Avon village,96.9,0.1,1.5,0.1,0.0
IL,Baldwin village,97.9,0.0,1.3,0.0,0.3
IL,Banner village,97.4,0.0,0.0,1.6,0.0
IL,Bannockburn village,76.6,6.1,3.3,0.3,13.8
IL,Bardolph village,98.0,0.0,2.4,0.4,0.0
IL,Barrington village,92.1,1.0,4.5,0.2,3.7
IL,Barrington Hills village,91.2,0.8,2.7,0.0,6.5
IL,Barry,97.0,0.0,1.4,0.3,0.2
IL,Bartelso village,98.5,0.7,0.8,0.0,0.0
IL,Bartlett village,78.6,2.3,8.6,0.2,14.4
IL,Bartonville village,96.2,1.1,1.9,0.0,0.4
IL,Basco village,100.0,0.0,0.0,0.0,0.0
IL,Batavia,91.9,2.4,6.8,0.2,1.8
IL,Batchtown village,100.0,0.0,0.5,0.0,0.0
IL,Bath village,100.0,0.0,0.6,0.0,0.0
IL,Baylis village,99.5,0.0,2.0,0.0,0.0
IL,Bay View Gardens village,97.9,0.0,2.4,0.5,0.0
IL,Beach Park village,68.9,10.7,25.1,0.6,5.7
IL,Beardstown,74.7,5.9,32.6,0.4,0.3
IL,Beason CDP,98.4,0.0,1.1,0.0,0.0
IL,Beaverville village,97.2,0.6,1.9,0.3,0.0
IL,Beckemeyer village,97.6,0.0,5.1,0.3,0.5
IL,Bedford Park village,83.8,0.7,24.3,0.3,0.0
IL,Beecher village,93.6,3.1,6.3,0.1,0.4
IL,Beecher village,98.7,0.0,0.9,0.0,0.0
IL,Belgium village,97.0,0.5,0.5,0.0,0.2
IL,Belknap village,97.1,0.0,0.0,0.0,0.0
IL,Belle Prairie town,100.0,0.0,0.0,0.0,0.0
IL,Belle Rive village,97.2,0.0,1.4,0.0,0.8
IL,Belleville,69.8,25.4,2.6,0.3,1.0
IL,Bellevue village,95.5,1.0,2.2,0.6,0.8
IL,Bellflower village,99.7,0.3,0.3,0.0,0.0
IL,Bellmont village,97.8,0.7,0.4,0.0,0.4
IL,Bellwood village,13.9,75.5,18.9,0.2,0.6
IL,Belvidere,77.9,2.6,30.6,0.5,1.0
IL,Bement village,97.7,0.4,1.1,0.1,0.2
IL,Benld,98.2,0.3,1.3,0.0,0.3
IL,Bensenville village,67.3,3.5,47.8,1.0,4.8
IL,Benson village,99.5,0.2,0.7,0.0,0.2
IL,Bentley town,100.0,0.0,0.0,0.0,0.0
IL,Benton,97.3,0.4,1.2,0.3,0.3
IL,Berkeley village,47.7,31.3,30.7,0.6,3.9
IL,Berlin village,97.8,0.0,1.1,0.6,0.6
IL,Berwyn,60.5,6.4,59.4,0.6,2.5
IL,Bethalto village,96.8,0.8,1.9,0.1,0.5
IL,Bethany village,98.2,0.2,1.8,0.1,0.0
IL,Biggsville village,97.4,0.3,2.0,0.0,0.0
IL,Big Rock village,97.0,0.7,2.0,0.4,0.2
IL,Bingham village,97.6,1.2,0.0,0.0,0.0
IL,Bishop Hill village,100.0,0.0,0.0,0.0,0.0
IL,Bismarck village,99.3,0.0,0.9,0.0,0.2
IL,Blandinsville village,98.5,0.0,0.6,0.0,0.5
IL,Bloomingdale village,79.4,3.7,8.7,0.2,12.7
IL,Bloomington,77.5,10.1,5.6,0.3,7.0
IL,Blue Island,41.3,30.8,47.0,0.8,0.4
IL,Blue Mound village,97.7,0.3,1.3,0.3,0.4
IL,Bluffs village,98.5,0.1,0.3,0.3,0.1
IL,Bluford village,98.5,0.3,0.7,0.6,0.0
IL,Bolingbrook village,54.3,20.4,24.5,0.3,11.4
IL,Bondville village,97.7,0.2,1.4,0.0,0.7
IL,Bone Gap village,99.6,0.4,2.4,0.0,0.0
IL,Bonfield village,97.4,0.0,1.8,0.3,0.3
IL,Bonnie village,98.0,0.8,0.5,0.5,0.0
IL,Boody CDP,99.6,0.4,0.0,0.0,0.0
IL,Boulder Hill CDP,84.4,4.4,22.3,0.5,0.7
IL,Bourbonnais village,86.7,7.5,4.8,0.2,1.9
IL,Bowen village,98.0,0.6,0.4,0.2,0.0
IL,Braceville village,95.7,0.4,3.2,0.4,0.0
IL,Bradford village,96.9,0.8,2.5,0.3,0.0
IL,Bradley village,87.3,6.3,7.5,0.2,1.2
IL,Braidwood,96.5,0.5,4.9,0.2,0.5
IL,Breese,97.5,0.2,2.4,0.1,0.4
IL,Bridgeport,98.4,0.3,1.1,0.1,0.0
IL,Bridgeview village,84.5,2.9,15.7,0.2,3.1
IL,Brighton village,98.3,0.1,1.1,0.4,0.0
IL,Brimfield village,96.4,0.3,0.7,0.1,0.6
IL,Broadlands village,98.3,0.6,1.1,0.0,0.3
IL,Broadview village,17.0,76.2,8.6,0.1,1.4
IL,Broadwell village,99.3,0.7,0.7,0.0,0.0
IL,Brocton village,98.1,0.0,1.2,0.6,0.0
IL,Brookfield village,88.7,2.5,16.2,0.2,1.5
IL,Brooklyn village,2.5,95.1,1.6,0.0,0.0
IL,Brookport,88.4,8.3,2.9,0.8,0.0
IL,Broughton village,99.0,0.0,3.1,1.0,0.0
IL,Browning village,100.0,0.0,3.6,0.0,0.0
IL,Browns village,97.0,0.7,0.0,0.0,0.7
IL,Brownstown village,98.6,0.0,1.2,0.3,0.0
IL,Brussels village,97.9,0.0,2.1,0.0,0.0
IL,Bryant village,99.1,0.0,0.5,0.5,0.0
IL,Buckingham village,99.0,0.0,0.7,0.0,0.0
IL,Buckley village,98.7,0.0,3.2,0.2,0.0
IL,Buckner village,98.3,0.0,2.2,0.6,0.0
IL,Buda village,96.3,0.2,1.1,0.0,1.3
IL,Buffalo village,98.2,0.4,1.0,0.2,0.2
IL,Buffalo Grove village,79.8,1.0,4.9,0.2,16.0
IL,Bull Valley village,94.2,0.8,4.0,0.1,2.9
IL,Bulpitt village,97.7,1.8,0.5,0.5,0.0
IL,Buncombe village,98.0,0.0,3.9,0.0,0.0
IL,Bunker Hill,96.9,1.7,0.8,0.1,0.2
IL,Burbank,81.7,1.9,26.6,0.4,2.5
IL,Bureau Junction village,94.1,0.9,6.5,0.9,0.3
IL,Burlington village,98.5,0.0,4.4,0.0,0.8
IL,Burnham village,26.1,61.9,19.1,0.7,0.5
IL,Burnt Prairie village,92.3,0.0,1.9,3.8,0.0
IL,Burr Ridge village,80.4,2.0,4.1,0.0,14.8
IL,Bush village,96.0,2.9,0.0,0.0,0.0
IL,Bushnell,97.4,0.4,1.3,0.3,0.0
IL,Butler village,99.4,0.0,0.0,0.0,0.0
IL,Byron,96.3,0.9,2.9,0.1,0.5
IL,Cabery village,96.6,0.8,6.0,0.4,0.0
IL,Cahokia village,34.3,62.2,2.0,0.2,0.2
IL,Cairo,27.6,69.6,0.4,0.2,0.4
IL,Caledonia village,94.4,1.0,3.0,0.5,3.0
IL,Calhoun village,98.3,0.0,0.0,1.7,0.0
IL,Calumet,19.2,70.6,15.0,0.6,0.3
IL,Calumet Park village,6.6,88.3,6.8,0.2,0.5
IL,Camargo village,98.7,0.0,2.7,0.0,0.0
IL,Cambria village,96.3,1.4,1.5,0.0,0.2
IL,Cambridge village,96.2,1.6,2.1,0.3,0.6
IL,Camden village,98.8,0.0,0.0,1.2,0.0
IL,Campbell Hill village,98.5,0.0,0.3,0.3,0.3
IL,Camp Point village,98.0,0.2,0.9,0.4,0.2
IL,Campton Hills village,95.4,0.5,3.6,0.2,1.8
IL,Campus village,96.4,0.0,3.6,0.0,0.0
IL,Canton,86.1,8.2,4.5,0.5,0.5
IL,Cantrall village,94.2,0.0,5.8,0.7,0.0
IL,Capron village,80.1,1.1,30.9,1.1,0.4
IL,Carbon Cliff village,79.9,12.4,10.0,0.3,0.6
IL,Carbondale,62.4,25.6,5.4,0.4,5.7
